tmass_id,sobject_id,dr3_source_id,flag_sp,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,snr_c2_iraf
08545753+1132573,160107004101362,604716590525179904,4,5872.8604,172.32468716627872,4.1014643,0.21187314583923456,-0.31952143,0.24039025490398974,0,8.77944531046
08522902+1117148,160107004101363,604684567249174144,0,5314.0493,153.3037202467043,3.8042502,0.21427491948135968,0.14713621,0.1576322967323976,0,10.7758976775
08543213+1127466,160107004101364,604714357142201600,1025,4680.4473,137.60107169918572,3.986094,0.2276498876008941,-0.62015104,0.12098004725758756,16,18.3920532159
08525848+1118539,160107004101365,604685628105952512,0,4657.9194,103.43114603813451,2.6249707,0.23024248623586174,-0.46707678,0.08639245896607937,0,30.018154559
08535944+1120452,160107004101366,604688140661848576,4,6149.9214,176.06423357191795,4.4630375,0.2178602404950879,0.035448074,0.215909806277278,0,8.25367892043
08524019+1114179,160107004101367,604683467737481088,4,5372.885,236.94990310052904,4.450489,0.23836155439365847,0.13386011,0.1984183102213137,0,6.2416875145
08540983+1120458,160107004101368,604642648368243712,4,5478.202,193.59406799200397,4.6354146,0.22476237571125868,0.43209743,0.1916910773115978,0,7.22704405448
08522587+1115271,160107004101369,604684223651730560,0,5231.723,188.747975809141,4.533951,0.21649819172233511,0.027311802,0.16356392610080084,0,10.1788177507
08533006+1123195,160107004101370,604692366909680512,0,5439.4834,143.7864247685868,3.7447276,0.20038698732473936,-0.28415823,0.13767682942342735,0,15.6963643508
08530638+1111076,160107004101371,604679482007819136,1,5937.1997,123.20562745828536,3.9611454,0.23077882340698042,-0.2806449,0.15597021122090132,0,15.9198750111
08525607+1112447,160107004101372,604680341001282560,4,5010.377,203.26501583454188,2.5069134,0.30285006242920653,-0.535059,0.19840731863253214,0,9.39499189876
08530558+1118063,160107004101373,604685391882809728,0,5439.2134,119.10358240171006,3.79474,0.19470974240964808,-0.094583035,0.11132167300582906,0,19.8427540825
08551618+1123061,160107004101374,604664329363124736,0,5578.8564,145.29046946601352,4.399088,0.19616064861013083,-0.024704933,0.14229443616025395,0,12.6021834953
08530208+1115378,160107004101375,604682265146623232,0,5579.455,103.98808462178386,4.4491377,0.18447649441337782,-0.11537886,0.09353753832073963,0,26.1293774554
08545333+1119571,160107004101376,604662229123483904,0,4798.6436,102.54331476739836,4.5914297,0.18838422403604355,0.11866999,0.09295819421033558,0,25.0526798347
08535476+1114273,160107004101377,604640174467097600,8,4958.734,127.08240613306447,2.4741013,0.2582641597112215,-0.36999416,0.10045146119881007,0,24.0161527555
08544716+1120416,160107004101378,604662469641651968,8,5721.287,110.47162678567588,4.2457795,0.18708920849604152,0.38161755,0.10629777145135583,0,19.5579108732
08534915+1115373,160107004101379,604640449345006592,0,6078.736,98.52994957699619,3.9259071,0.18601443890565075,-0.12205124,0.10611660248862204,0,27.0806256453
08515593+1111212,160107004101380,598678931658873216,0,6201.183,97.22300500331296,4.1065087,0.18466810334400352,-0.03462839,0.10268164164631682,0,27.4758585225
08541769+1112300,160107004101382,604636562399566848,0,5766.0674,91.02989107793259,4.3424315,0.18396553478185898,0.06599331,0.07991701247213405,0,34.8218742253
08532214+1112230,160107004101383,604680856397344128,0,4944.328,141.17990741134696,2.338748,0.28361576642833036,-0.43800402,0.12281857605828572,0,17.3709282719
08522627+1116340,160107004101385,604684532889373952,0,6043.1626,98.15318436469616,4.0500975,0.18367691189692098,-0.050569534,0.10318941209199034,0,26.4163145449
08551134+1112446,160107004101386,604625434139406848,0,4887.8726,122.22436531871462,4.587909,0.19388368392726654,0.010028362,0.10986109289627323,0,18.3272875838
08553748+1113351,160107004101387,604645431507133824,4,5495.0176,164.17794632189091,4.390849,0.2054289993441132,0.25761843,0.17593543247155463,0,8.19834491049
08540192+1109463,160107004101388,604630107063758720,0,4745.547,95.82418612263288,4.6148505,0.1838849407088894,-0.09221363,0.07937283960764828,0,32.7146848876
08535249+1110581,160107004101389,604633199440215936,0,5921.5747,122.41020261426456,4.2949586,0.19647599957690073,0.26175356,0.13085052728850732,0,14.6523632494
08554954+1111330,160107004101390,604644331995505024,69,4378.518,173.55126075820755,4.3308506,0.22489813009546947,-0.21751785,0.19116444631172386,0,8.53266444046
08530780+1107416,160107004101391,604631825050707456,0,4793.5566,136.29244027470216,4.5985756,0.19938960869988606,-0.20677519,0.12456424758783141,0,14.1842574904
08535011+1105503,160107004101392,604629248070309248,0,6030.0117,91.65033017651173,4.0102158,0.1892661004490584,-0.07126522,0.0927740808492495,0,32.7130483084
08523348+1108545,160107004101393,598675049008416896,4,5314.903,195.1061053098923,4.362453,0.21898468613828098,-0.1072731,0.20277135410261682,0,6.1761151201
08523772+1106586,160107004101394,598674739770772352,0,5496.7495,112.67571478221333,3.955922,0.188391352039356,0.020282745,0.10397043936462522,0,21.0206854125
08521748+1110524,160107004101395,598678003945922944,0,5242.5693,104.31995017029625,4.532562,0.1861292741708043,0.1392827,0.09433554981153272,0,23.1319541593
08515930+1112371,160107004101397,598690820128344832,0,5103.0454,115.66031426434343,4.5643954,0.18969166686437644,0.044425488,0.10047418967042211,0,20.6297526893
08520044+1106232,160107004101398,598676109865154048,0,5721.453,101.86044228921368,4.164582,0.1837683511462421,-0.07197714,0.09553197768134607,0,25.5764377224
08510279+1151254,160107004102284,604921718163732736,264,5246.3555,74.42785657129467,3.702023,0.20422342285203715,0.2952962,0.044908596179525334,16,82.5970624992
08511759+1139359,160107004102285,604897803786032768,0,6187.2812,73.0115944122601,4.006088,0.18371240366041428,-0.3531394,0.052862395384857486,0,97.2981336286
08512205+1146409,160107004102289,604917285757662592,0,5993.864,83.30599776743422,4.0553684,0.18134499087186084,-0.08431721,0.07026603093130192,0,43.6601493308
08514375+1145148,160107004102297,604904533998990592,0,6057.045,75.63721785684477,4.0275393,0.18428113575436583,-0.0862236,0.054704888029017656,0,73.397908764
08515161+1144503,160107004102304,604904847532340992,266,4959.0566,74.49452222269076,4.442573,0.18255389571182348,,,17,80.7422602455
